PROJECT_COUNT,REPORT_MONTH,G_PROJECT_KEY,ERC_CD,ORG,PROJECT_NAME,CONTRACT_STATUS,INSTALLED_CAP_MW,REPORTED_INST_CAP_MW,CONTRACTED_CAP_MW,PROJECT_TYPE,CONTRACT_TYPE,TECHNOLOGY_A_GROUP_1,TECHNOLOGY_A_GROUP_2,TECHNOLOGY_B_GROUP_1,TECHNOLOGY_B_GROUP_2,PRIMARY_FUEL_A_GROUP_1,PRIMARY_FUEL_A_GROUP_3,PRIMARY_FUEL_A_DETAIL,UTILIZATION,SCOD,COD,LICENSINGNO,EGAT_SYS_GEN,ERC_DISTRICT_NO,ERC_DISTRICT,PROVINCE,DISTRICT,SUBDISTRICT,COUNTRY_ZONE,IS_SHARING_LIC,SPP_VSPP_PLANT_CD,PPA_CONTRACT_NO,DISPLAY_ADDR,SPP_VSPP_ROWID,LINK_KV,SUBSTATION,EGAT_SUB,SOURCE
1,Sep 2022,1864,1121975,PEA,???.?????????? ????,COD ????,4.5,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,10-Jun-16,??? 01-1(1)/59-608,NO   ,10,?????? 10 (???????),????????,????,???????,??????,NO   ,PEA-0995-VS3-110,PVF1-PEA-150/2558,?????? 89/7 ??????? 4 ??????????? ????????? ??????????????? ???????????? 76120,10616,115,????2-??????3,HH,
1,Sep 2022,1865,1121976,PEA,???.?????????? ????,COD ????,4,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/58-516,NO   ,10,?????? 10 (???????),????????,????,???????,??????,NO   ,PEA-0996-VS3-110,PVF1-PEA-151/2558,?????? 89/8 ??????? 4 ??????????? ????????? ??????????????? ???????????? 76120,10617,115,????2-??????3,HH,
1,Sep 2022,1866,1121977,PEA,???.?????????? ????,COD ????,4,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/58-518,NO   ,10,?????? 10 (???????),????????,????,???????,??????,NO   ,PEA-0997-VS3-110,PVF1-PEA-152/2558,?????? 89/9 ??????? 4 ??????????? ????????? ??????????????? ???????????? 76120,10618,115,????2-??????3,HH,
1,Sep 2022,1867,1121978,PEA,???.?????????? ????,COD ????,4,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/58-519,NO   ,10,?????? 10 (???????),????????,????,???????,??????,NO   ,PEA-0998-VS3-110,PVF1-PEA-153/2558,?????? 89/10 ??????? 4 ??????????? ????????? ??????????????? ???????????? 76120,10619,115,????2-??????3,HH,
1,Sep 2022,1868,1121979,PEA,???.?????????? ????,COD ????,4,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/58-520,NO   ,10,?????? 10 (???????),????????,????,???????,??????,NO   ,PEA-0999-VS3-110,PVF1-PEA-154/2558,?????? 89/11 ??????? 4 ??????????? ????????? ??????????????? ???????????? 76120,10620,115,????2-??????3,HH,
1,Sep 2022,1869,1121980,PEA,???.?????????? ????,COD ????,4,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/58-521,NO   ,10,?????? 10 (???????),????????,????,???????,??????,NO   ,PEA-1000-VS3-110,PVF1-PEA-155/2558,?????? 89/12 ??????? 4 ??????????? ????????? ??????????????? ???????????? 76120,10621,115,????2-??????3,HH,
1,Sep 2022,1870,1121981,PEA,???.?????????? ????,COD ????,4,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/58-514,NO   ,10,?????? 10 (???????),????????,????,???????,??????,NO   ,PEA-1001-VS3-110,PVF1-PEA-156/2558,?????? 89/13 ??????? 4 ??????????? ????????? ??????????????? ???????????? 76120,10622,115,????2-??????3,HH,
1,Sep 2022,1871,1121982,PEA,???.?????????? ????,COD ????,4,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/58-528,NO   ,10,?????? 10 (???????),????????,????,???????,??????,NO   ,PEA-1002-VS3-110,PVF1-PEA-157/2558,?????? 89/14 ??????? 4 ??????????? ????????? ??????????????? ???????????? 76120,10623,115,????2-??????3,HH,
1,Sep 2022,1872,1121983,PEA,???.?????????? ????,COD ????,4,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/58-522,NO   ,10,?????? 10 (???????),????????,????,???????,??????,NO   ,PEA-1003-VS3-110,PVF1-PEA-158/2558,?????? 89/15 ??????? 4 ??????????? ????????? ??????????????? ???????????? 76120,10624,115,????2-??????3,HH,
1,Sep 2022,1875,1121986,PEA,???.?????????? ????,COD ????,4,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,30-Apr-16,??? 01-1(1)/58-523,NO   ,10,?????? 10 (???????),????????,????,???????,??????,NO   ,PEA-0989-VC1-110,PVF1-PEA-126/2558,?????? 89/1 ??????? 4 ??????????? ????????? ??????????????? ???????????? 76120,11291,115,????2-??????3,HH,
