year,type,provinceNumber,provinceTranslate,regionNumber,province,fuel,contractCapacityMW,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2560,Solar PV Rooftop,41,อ่างทอง, 5 ,อ่างทอง,พลังงานแสงอาทิตย์,0.10672,10531,11636,13017,13373,11930,12428,11281,11422,10005,10404,10138,10136
2560,Solar PV Rooftop,3,เชียงราย, 4 ,เชียงราย,พลังงานแสงอาทิตย์,0.17594,13955,16866,18193,16185,15703,15701,13591,13920,14263,14365,13419,14454
2560,Solar PV Rooftop,1,เชียงใหม่, 4 ,เชียงใหม่,พลังงานแสงอาทิตย์,1.41461,123685,146067,158338,146062,150336,133619,122740,125327,127042,125951,119738,122133
2560,Solar PV Rooftop,59,เพชรบุรี, 7 ,เพชรบุรี,พลังงานแสงอาทิตย์,2.58205,241128,289549,319877,329238,283673,289962,266589,282357,300033,272375,225116,252226
2560,Solar PV Rooftop,16,เพชรบูรณ์, 4 ,เพชรบูรณ์,พลังงานแสงอาทิตย์,0.49315,52277,56694,59637,62737,58606,54227,50137,55996,56205,55343,51029,49924
2560,Solar PV Rooftop,23,เลย, 2 ,เลย,พลังงานแสงอาทิตย์,0.36299,28420,27529,31093,36035,33422,31586,29755,30337,30055,26127,26054,24804
2560,Solar PV Rooftop,9,แพร่, 4 ,แพร่,พลังงานแสงอาทิตย์,2.892465,260143,311362,348148,339794,345534,316324,298186,304304,297844,280694,260394,256996
2560,Solar PV Rooftop,6,แม่ฮ่องสอน, 4 ,แม่ฮ่องสอน,พลังงานแสงอาทิตย์,0.24259,22976,24709,27024,23914,24444,20591,18344,18398,18993,20570,19249,19144
2560,พพ,5,พะเยา, 4 ,โครงการแม่ผง,พลังงานน้ำ,0.86,119511,196558,116909,78384,119057,108996,318252,309856,25736,225126,438506,436990
2560,พพ,3,เชียงราย, 4 ,โครงการห้วยน้ำขุ่น,พลังงานน้ำ,1.7,633780,421560,389553,274113,300006,296760,368906,555920,458320,528160,561580,547813
2560,พพ,6,แม่ฮ่องสอน, 4 ,โครงการแม่สะเรียง,พลังงานน้ำ,1.25,85914,25290,8170,18487,26605,132393,177871,261414,270033,178087,167824,196574
2560,พพ,6,แม่ฮ่องสอน, 4 ,โครงการแม่สะง่า,พลังงานน้ำ,5.04,1441980,909980,786180,700406,811498,1453860,3891500,5248980,5092620,5296740,4802620,2818160
2560,พพ,1,เชียงใหม่, 4 ,โครงการบ่อแก้ว,พลังงานน้ำ,0.2,30688,1880,-384,4128,20868,29676,27516,27000,22956,22940,29840,37400
2560,พพ,1,เชียงใหม่, 4 ,โครงการแม่สาป,พลังงานน้ำ,1.36,28196,16317,4431,-1895,197139,218450,251014,347729,633626,684880,253666,111508
2560,พพ,1,เชียงใหม่, 4 ,โครงการแม่หาด,พลังงานน้ำ,0.818,282153,158569,79490,32430,160454,242801,365621,412688,357020,362617,380206,432297
2560,พพ,1,เชียงใหม่, 4 ,โครงการแม่ตืน,พลังงานน้ำ,0.25,28863,23562,24463,9580,-1114,-1163,-971,-1368,-1301,-687,-512,-594
2560,พพ,1,เชียงใหม่, 4 ,โครงการฝาง,พลังงานน้ำ,4.33,1233600,782133,554667,511467,766133,754453,1642667,1770933,2537867,3879467,3111200,2060000
